dataset,window_start,window_end,comment,freq,exp_mean,window_mean,exp_rmse,window_rmse
velocity_calc,2022-12-15 13:08:19,2022-12-15 13:12:18,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332923038234913,0.0020101365047055,0.000506408252944002
velocity_calc,2022-12-15 13:08:20,2022-12-15 13:12:19,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293104749417,0.0020101365047055,0.0005053735166739416
velocity_calc,2022-12-15 13:08:21,2022-12-15 13:12:20,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332936276304714,0.0020101365047055,0.0005042109646048383
velocity_calc,2022-12-15 13:08:22,2022-12-15 13:12:21,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332919192971378,0.0020101365047055,0.000504193488258302
velocity_calc,2022-12-15 13:08:23,2022-12-15 13:12:22,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293801241582,0.0020101365047055,0.0005039283892185466
velocity_calc,2022-12-15 13:08:24,2022-12-15 13:12:23,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33292253164659,0.0020101365047055,0.0005067293192782695
velocity_calc,2022-12-15 13:08:25,2022-12-15 13:12:24,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33292401134745,0.0020101365047055,0.0005064618168909942
velocity_calc,2022-12-15 13:08:27,2022-12-15 13:12:26,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332916666261976,0.0020101365047055,0.0005087033014303254
velocity_calc,2022-12-15 13:08:29,2022-12-15 13:12:28,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33292749959531,0.0020101365047055,0.0005064152194295415
velocity_calc,2022-12-15 13:08:30,2022-12-15 13:12:29,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332917985706423,0.0020101365047055,0.0005065530576190419
velocity_calc,2022-12-15 13:08:28,2022-12-15 13:12:27,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332930555150867,0.0020101365047055,0.0005068772109462059
velocity_calc,2022-12-15 13:08:26,2022-12-15 13:12:25,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293694403976,0.0020101365047055,0.0005069155598678885
velocity_calc,2022-12-15 13:08:31,2022-12-15 13:12:30,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.33293687459531,0.0020101365047055,0.000506904040377811
velocity_calc,2022-12-15 13:08:32,2022-12-15 13:12:31,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332915971817535,0.0020101365047055,0.0005062004498574757
velocity_calc,2022-12-15 13:08:34,2022-12-15 13:12:33,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332924277551154,0.0020101365047055,0.0005080922330582296
velocity_calc,2022-12-15 13:08:33,2022-12-15 13:12:32,"Actual window mean and RMSE are normal, but frequency is not as expected.",0.3875,23.33287258937695,23.332926809602434,0.0020101365047055,0.0005061817805737775
